seurat_clusters	selected_pole	cells	intestinal_like	diffuse_emt_like	n_patients	top_patient	top_patient_fraction	lauren_breakdown
2	Diffuse_EMT_selected_clusters	762	0	762	1	NGCII509	1	Intestinal:762
5	Diffuse_EMT_selected_clusters	517	0	517	1	NGCII509	1	Intestinal:517
17	Diffuse_EMT_selected_clusters	162	2	160	17	NGCII541	0.179012345679012	Diffuse:36;Intestinal:126
18	Diffuse_EMT_selected_clusters	157	1	156	14	NGCII541	0.184713375796178	Diffuse:34;Intestinal:123
21	Diffuse_EMT_selected_clusters	107	3	104	16	NGCII540	0.121495327102804	Diffuse:26;Intestinal:81
0	Intestinal_selected_clusters	755	710	45	12	NGCII540	0.939072847682119	Diffuse:12;Intestinal:743
7	Intestinal_selected_clusters	349	334	15	6	NGCII522	0.974212034383954	Diffuse:1;Intestinal:348
8	Intestinal_selected_clusters	349	345	4	1	NGCII509	1	Intestinal:349
11	Intestinal_selected_clusters	199	190	9	6	NGCII499	0.959798994974874	Diffuse:4;Intestinal:195
12	Intestinal_selected_clusters	152	125	27	5	NGCII502	0.947368421052632	Diffuse:6;Intestinal:146
14	Intestinal_selected_clusters	249	248	1	3	NGCII540	0.987951807228916	Diffuse:2;Intestinal:247
15	Intestinal_selected_clusters	188	186	2	2	NGCII543	0.973404255319149	Intestinal:188
1	Other_final_clusters	665	661	4	5	NGCII522	0.960902255639098	Diffuse:4;Intestinal:661
3	Other_final_clusters	291	247	44	1	NGCII511	1	Intestinal:291
4	Other_final_clusters	299	184	115	18	NGCII521	0.274247491638796	Diffuse:89;Intestinal:210
6	Other_final_clusters	338	330	8	4	NGCII541	0.955621301775148	Intestinal:338
9	Other_final_clusters	222	198	24	1	NGCII541	1	Intestinal:222
10	Other_final_clusters	188	92	96	15	NGCII510	0.26063829787234	Diffuse:68;Intestinal:120
13	Other_final_clusters	219	215	4	1	NGCII541	1	Intestinal:219
16	Other_final_clusters	177	0	177	5	NGCII509	0.745762711864407	Diffuse:1;Intestinal:176
19	Other_final_clusters	83	59	24	11	NGCII522	0.373493975903614	Diffuse:6;Intestinal:77
20	Other_final_clusters	74	33	41	1	NGCII541	1	Intestinal:74
22	Other_final_clusters	71	7	64	13	NGCII540	0.267605633802817	Diffuse:4;Intestinal:67
