gene	patient	state	cells	expressing_cells	detection_fraction	raw_transcripts
KCNQ1	NGCII519	Intestinal-like	43	3	0.0697674418604651	3
KCNQ1	NGCII519	Diffuse/EMT-like	56	3	0.0535714285714286	3
KCNQ1	NGCII520	Intestinal-like	5	0	0	0
KCNQ1	NGCII520	Diffuse/EMT-like	22	1	0.0454545454545455	1
KCNQ1	NGCII521	Intestinal-like	87	15	0.172413793103448	18
KCNQ1	NGCII521	Diffuse/EMT-like	35	2	0.0571428571428571	2
KCNQ1	NGCII529	Diffuse/EMT-like	43	0	0	0
KCNQ1	NGCII529	Intestinal-like	15	0	0	0
KCNQ1	NGCII502	Intestinal-like	128	12	0.09375	14
KCNQ1	NGCII502	Diffuse/EMT-like	77	4	0.051948051948052	4
KCNQ1	NGCII511	Intestinal-like	253	21	0.08300395256917	25
KCNQ1	NGCII511	Diffuse/EMT-like	104	2	0.0192307692307692	2
KCNQ1	NGCII499	Diffuse/EMT-like	51	0	0	0
KCNQ1	NGCII499	Intestinal-like	182	52	0.285714285714286	70
KCNQ1	NGCII509	Diffuse/EMT-like	1421	3	0.00211118930330753	3
KCNQ1	NGCII509	Intestinal-like	345	20	0.0579710144927536	20
KCNQ1	NGCII498	Intestinal-like	23	2	0.0869565217391304	6
KCNQ1	NGCII498	Diffuse/EMT-like	19	2	0.105263157894737	3
KCNQ1	NGCII513	Intestinal-like	6	1	0.166666666666667	1
KCNQ1	NGCII513	Diffuse/EMT-like	2	0	0	0
KCNQ1	NGCII514	Intestinal-like	13	3	0.230769230769231	5
KCNQ1	NGCII514	Diffuse/EMT-like	11	0	0	0
KCNQ1	NGCII512	Intestinal-like	18	0	0	0
KCNQ1	NGCII512	Diffuse/EMT-like	28	0	0	0
KCNQ1	NGCII510	Diffuse/EMT-like	46	3	0.0652173913043478	5
KCNQ1	NGCII510	Intestinal-like	12	3	0.25	3
KCNQ1	NGCII531	Diffuse/EMT-like	22	1	0.0454545454545455	1
KCNQ1	NGCII531	Intestinal-like	9	0	0	0
KCNQ1	NGCII522	Intestinal-like	1013	525	0.518262586377098	938
KCNQ1	NGCII522	Diffuse/EMT-like	65	6	0.0923076923076923	6
KCNQ1	NGCII539	Diffuse/EMT-like	50	2	0.04	2
KCNQ1	NGCII539	Intestinal-like	5	0	0	0
KCNQ1	NGCII540	Intestinal-like	977	314	0.321392016376663	486
KCNQ1	NGCII540	Diffuse/EMT-like	98	8	0.0816326530612245	10
KCNQ1	NGCII541	Intestinal-like	778	73	0.0938303341902314	89
KCNQ1	NGCII541	Diffuse/EMT-like	174	2	0.0114942528735632	2
KCNQ1	NGCII543	Diffuse/EMT-like	45	0	0	0
KCNQ1	NGCII543	Intestinal-like	238	18	0.0756302521008403	24
KCNQ1	NGCII545	Diffuse/EMT-like	34	1	0.0294117647058824	2
KCNQ1	NGCII545	Intestinal-like	20	8	0.4	12
KCNE2	NGCII519	Intestinal-like	43	0	0	0
KCNE2	NGCII519	Diffuse/EMT-like	56	0	0	0
KCNE2	NGCII520	Intestinal-like	5	0	0	0
KCNE2	NGCII520	Diffuse/EMT-like	22	7	0.318181818181818	38
KCNE2	NGCII521	Intestinal-like	87	10	0.114942528735632	17
KCNE2	NGCII521	Diffuse/EMT-like	35	0	0	0
KCNE2	NGCII529	Diffuse/EMT-like	43	0	0	0
KCNE2	NGCII529	Intestinal-like	15	1	0.0666666666666667	1
KCNE2	NGCII502	Intestinal-like	128	23	0.1796875	49
KCNE2	NGCII502	Diffuse/EMT-like	77	7	0.0909090909090909	10
KCNE2	NGCII511	Intestinal-like	253	0	0	0
KCNE2	NGCII511	Diffuse/EMT-like	104	1	0.00961538461538462	1
KCNE2	NGCII499	Diffuse/EMT-like	51	0	0	0
KCNE2	NGCII499	Intestinal-like	182	0	0	0
KCNE2	NGCII509	Diffuse/EMT-like	1421	0	0	0
KCNE2	NGCII509	Intestinal-like	345	0	0	0
KCNE2	NGCII498	Intestinal-like	23	0	0	0
KCNE2	NGCII498	Diffuse/EMT-like	19	0	0	0
KCNE2	NGCII513	Intestinal-like	6	0	0	0
KCNE2	NGCII513	Diffuse/EMT-like	2	0	0	0
KCNE2	NGCII514	Intestinal-like	13	0	0	0
KCNE2	NGCII514	Diffuse/EMT-like	11	0	0	0
KCNE2	NGCII512	Intestinal-like	18	1	0.0555555555555556	1
KCNE2	NGCII512	Diffuse/EMT-like	28	1	0.0357142857142857	1
KCNE2	NGCII510	Diffuse/EMT-like	46	0	0	0
KCNE2	NGCII510	Intestinal-like	12	4	0.333333333333333	4
KCNE2	NGCII531	Diffuse/EMT-like	22	0	0	0
KCNE2	NGCII531	Intestinal-like	9	0	0	0
KCNE2	NGCII522	Intestinal-like	1013	104	0.102665350444225	191
KCNE2	NGCII522	Diffuse/EMT-like	65	1	0.0153846153846154	2
KCNE2	NGCII539	Diffuse/EMT-like	50	1	0.02	1
KCNE2	NGCII539	Intestinal-like	5	0	0	0
KCNE2	NGCII540	Intestinal-like	977	25	0.0255885363357216	40
KCNE2	NGCII540	Diffuse/EMT-like	98	0	0	0
KCNE2	NGCII541	Intestinal-like	778	3	0.0038560411311054	8
KCNE2	NGCII541	Diffuse/EMT-like	174	1	0.00574712643678161	1
KCNE2	NGCII543	Diffuse/EMT-like	45	0	0	0
KCNE2	NGCII543	Intestinal-like	238	1	0.00420168067226891	5
KCNE2	NGCII545	Diffuse/EMT-like	34	0	0	0
KCNE2	NGCII545	Intestinal-like	20	0	0	0
KCNE3	NGCII519	Intestinal-like	43	3	0.0697674418604651	4
KCNE3	NGCII519	Diffuse/EMT-like	56	0	0	0
KCNE3	NGCII520	Intestinal-like	5	1	0.2	1
KCNE3	NGCII520	Diffuse/EMT-like	22	1	0.0454545454545455	1
KCNE3	NGCII521	Intestinal-like	87	18	0.206896551724138	25
KCNE3	NGCII521	Diffuse/EMT-like	35	2	0.0571428571428571	2
KCNE3	NGCII529	Diffuse/EMT-like	43	0	0	0
KCNE3	NGCII529	Intestinal-like	15	2	0.133333333333333	2
KCNE3	NGCII502	Intestinal-like	128	86	0.671875	427
KCNE3	NGCII502	Diffuse/EMT-like	77	13	0.168831168831169	22
KCNE3	NGCII511	Intestinal-like	253	47	0.185770750988142	56
KCNE3	NGCII511	Diffuse/EMT-like	104	5	0.0480769230769231	5
KCNE3	NGCII499	Diffuse/EMT-like	51	1	0.0196078431372549	1
KCNE3	NGCII499	Intestinal-like	182	10	0.054945054945055	11
KCNE3	NGCII509	Diffuse/EMT-like	1421	65	0.0457424349049965	67
KCNE3	NGCII509	Intestinal-like	345	68	0.197101449275362	94
KCNE3	NGCII498	Intestinal-like	23	10	0.434782608695652	23
KCNE3	NGCII498	Diffuse/EMT-like	19	1	0.0526315789473684	1
KCNE3	NGCII513	Intestinal-like	6	1	0.166666666666667	2
KCNE3	NGCII513	Diffuse/EMT-like	2	0	0	0
KCNE3	NGCII514	Intestinal-like	13	6	0.461538461538462	30
KCNE3	NGCII514	Diffuse/EMT-like	11	0	0	0
KCNE3	NGCII512	Intestinal-like	18	13	0.722222222222222	40
KCNE3	NGCII512	Diffuse/EMT-like	28	3	0.107142857142857	4
KCNE3	NGCII510	Diffuse/EMT-like	46	29	0.630434782608696	56
KCNE3	NGCII510	Intestinal-like	12	10	0.833333333333333	39
KCNE3	NGCII531	Diffuse/EMT-like	22	0	0	0
KCNE3	NGCII531	Intestinal-like	9	1	0.111111111111111	1
KCNE3	NGCII522	Intestinal-like	1013	529	0.522211253701876	940
KCNE3	NGCII522	Diffuse/EMT-like	65	8	0.123076923076923	12
KCNE3	NGCII539	Diffuse/EMT-like	50	2	0.04	2
KCNE3	NGCII539	Intestinal-like	5	2	0.4	8
KCNE3	NGCII540	Intestinal-like	977	175	0.179119754350051	221
KCNE3	NGCII540	Diffuse/EMT-like	98	2	0.0204081632653061	2
KCNE3	NGCII541	Intestinal-like	778	70	0.089974293059126	88
KCNE3	NGCII541	Diffuse/EMT-like	174	5	0.028735632183908	11
KCNE3	NGCII543	Diffuse/EMT-like	45	0	0	0
KCNE3	NGCII543	Intestinal-like	238	111	0.466386554621849	249
KCNE3	NGCII545	Diffuse/EMT-like	34	1	0.0294117647058824	4
KCNE3	NGCII545	Intestinal-like	20	11	0.55	21
