cohort	gene	odds_ratio	p_value	FDR	Diffuse/EMT-like	Intestinal-like	detection_difference
Cluster-screened	KCNE2	1.55487556122275	0.0986060976730177	0.0986060976730177	0.0269413629160063	0.0412766978641709	0.0143353349481645
Cluster-screened	KCNE3	3.47025236365005	2.2204015257444e-25	3.33060228861659e-25	0.101426307448494	0.281497480201584	0.180071172753089
Cluster-screened	KCNQ1	6.25191458991661	1.04053543994354e-37	3.12160631983062e-37	0.05229793977813	0.256539476841853	0.204241537063723
Original final	KCNE2	5.39670833140489	3.46314242274162e-17	3.46314242274162e-17	0.00790678318768206	0.0412470023980815	0.0333402192103995
Original final	KCNE3	6.42963364011674	9.00928504818299e-123	1.35139275722745e-122	0.0574282147315855	0.281534772182254	0.224106557450669
Original final	KCNQ1	20.3878609753901	2.3568006301776e-178	7.07040189053279e-178	0.0166458593424886	0.256594724220624	0.239948864878135
Orthogonal strict	KCNE2	2.12641563730021	0.0310954871469564	0.0310954871469564	0.0190930787589499	0.03975	0.0206569212410501
Orthogonal strict	KCNE3	3.11378766289804	1.32928303927515e-15	1.99392455891273e-15	0.109785202863962	0.2775	0.167714797136038
Orthogonal strict	KCNQ1	7.64350514497084	4.84893797376541e-29	1.45468139212962e-28	0.0429594272076372	0.2555	0.212540572792363
